addressid,stateprovinceid,city,addressline2,modifieddate,rowguid,postalcode,spatiallocation,addressline1
1,79,Bothell,,2007-12-04 00:00:00,9aadcb0d-36cf-483f-84d8-585c2d4ec6e9,98011,E6100000010CAE8BFC28BCE4474067A89189898A5EC0,1970 Napa Ct.
2,79,Bothell,,2008-11-30 00:00:00,32a54b9e-e034-4bfb-b573-a71cde60d8c0,98011,E6100000010CD6FA851AE6D74740BC262A0A03905EC0,9833 Mt. Dias Blv.
3,79,Bothell,,2013-03-07 00:00:00,4c506923-6d1b-452c-a07c-baa6f5b142a4,98011,E6100000010C18E304C4ADE14740DA930C7893915EC0,7484 Roundtree Drive
4,79,Bothell,,2009-02-03 00:00:00,e5946c78-4bcc-477f-9fa1-cc09de16a880,98011,E6100000010C813A0D5F9FDE474011A5C28A7C955EC0,9539 Glenside Dr
5,79,Bothell,,2008-12-19 00:00:00,fbaff937-4a97-4af0-81fd-b849900e9bb0,98011,E6100000010C61C64D8ABBD94740C460EA3FD8855EC0,1226 Shoe St.
6,79,Bothell,,2009-02-13 00:00:00,febf8191-9804-44c8-877a-33fde94f0075,98011,E6100000010CE0B4E50458DA47402F12A5F80C975EC0,1399 Firestone Drive
7,79,Bothell,,2009-12-11 00:00:00,0175a174-6c34-4d41-b3c1-4419cd6a0446,98011,E6100000010C18E304C4ADE1474011A5C28A7C955EC0,5672 Hale Dr.
8,79,Bothell,,2008-12-17 00:00:00,3715e813-4dca-49e0-8f1c-31857d21f269,98011,E6100000010C0029A5D93BDF4740E248962FD5975EC0,6387 Scenic Avenue
9,79,Bothell,,2012-05-30 00:00:00,268af621-76d7-4c78-9441-144fd139821a,98011,E6100000010C6A80AD742DDC4740851574F7198C5EC0,8713 Yosemite Ct.
10,79,Bothell,,2008-12-02 00:00:00,0b6b739d-8eb6-4378-8d55-fe196af34c04,98011,E6100000010C219D64AE1FE4474040862564B7825EC0,250 Race Court
11,79,Bothell,,2013-02-28 00:00:00,981b3303-aca2-49c7-9a96-fb670785b269,98011,E6100000010CCEFFBBFD9FE9474057B9479C728E5EC0,1318 Lasalle Street
12,79,Bothell,,2013-01-05 00:00:00,1c2c9cfe-ab9f-4f96-8e1f-d9666b6f7f22,98011,E6100000010C6A80AD742DDC474011A5C28A7C955EC0,5415 San Gabriel Dr.
13,79,Bothell,,2013-12-14 00:00:00,e0ba2f52-c907-4553-a0db-67fc67d28ae4,98011,E6100000010CC3228C0867E84740F3BC169B7F835EC0,9265 La Paz
14,79,Bothell,,2009-12-04 00:00:00,a1c658ae-c553-4a9d-a081-a550d39b64df,98011,E6100000010C219D64AE1FE4474067A89189898A5EC0,8157 W. Book
15,79,Bothell,,2013-11-18 00:00:00,f397e64a-a9d8-4e57-9e7c-b10928acadd6,98011,E6100000010C219D64AE1FE447405E6ED153B4945EC0,4912 La Vuelta
16,79,Bothell,,2012-11-09 00:00:00,0312b65f-cb60-4396-9ec7-a78b2eac1a1b,98011,E6100000010CF76E45EFC9DC474067A89189898A5EC0,40 Ellis St.
17,79,Bothell,,2013-11-08 00:00:00,ce9b3b47-9267-4727-bcd2-687c47482c06,98011,E6100000010C034C75E402DE4740BC262A0A03905EC0,6696 Anchor Drive
18,79,Bothell,,2013-11-30 00:00:00,963854f7-e3cb-46a1-a3db-1b05f71d6473,98011,E6100000010C219D64AE1FE447405FF307D247845EC0,1873 Lion Circle
